order,family,genus,species,model,pop_den_estimate,pop_den_se,pop_den_tval,pop_den_pval,adj_r2,dev_exp,dev_exp_diff_comp_null,sample_size,model_weight_comp_null,spatial_pval,delta_AIC
Lepidoptera,Crambidae,Udea,Udea rubigalis,duration,-0.006739042521512972,0.01089137492717792,-0.6187503934601153,0.5402426440267634,0.4692616646990946,0.5842111921173274,0.013569439880197098,44,0.10275101803509651,0.06281608924983684,4.334049268397337
Lepidoptera,Crambidae,Udea,Udea rubigalis,onset,-0.0013805877777427749,0.005754101992037758,-0.23993105781808596,0.8119767220947159,0.871186692630113,0.907927443715747,-0.0031368926485734194,44,0.16634817666853252,0.05551613201832062,3.2234655911613004
Lepidoptera,Crambidae,Udea,Udea rubigalis,offset,-0.0100748864572189,0.009940081597749123,-1.0135617457607493,0.3176960650079613,0.4072888948863431,0.5139213822879024,0.030199018383479104,44,0.2245526594203247,4.950867190008923e-4,2.4786596673692998
Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,duration,-0.006506091641386076,0.006644719989732247,-0.9791370669403094,0.33630721745036896,0.36862192668346627,0.5566694928191129,0.011571318633810779,39,0.13695566171514945,0.21418508385072244,3.6816176607127886
Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,onset,0.008264356283193839,0.004799045373191456,1.7220833812825331,0.09702576642167585,0.5585027705245165,0.7002854996209489,0.008741746779871828,39,0.5718270037818971,0.04124748610222634,0
Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,offset,0.00199212650918516,0.004846528012369037,0.41104198801718805,0.6843657939672314,0.26715659134181213,0.49186673057079844,-0.01350561064156297,39,0.09892579546100903,0.23746857152670642,4.418435167810912
Lepidoptera,Geometridae,Costaconvexa,Costaconvexa centrostrigaria,duration,-0.04893262971425765,0.019399634981062657,-2.52234795974379,0.020116787534356032,0.6837789329095252,0.8313029935252421,0.4199402878431012,39,3.70860880099066e-9,0.019432509204026116,38.825218026398545
Lepidoptera,Geometridae,Costaconvexa,Costaconvexa centrostrigaria,onset,0.024049501032368158,0.010449963616275995,2.3013956713601043,0.028114857321833085,0.6818493061100863,0.7353021725282921,0.02250366490549438,39,0.8868130820880064,0.07088830699788862,0
Lepidoptera,Geometridae,Costaconvexa,Costaconvexa centrostrigaria,offset,-0.01734966451085356,0.019541305652432037,-0.8878457161174533,0.3814351453713478,0.09471296321562661,0.2586675210494349,4.366396893424884e-4,39,0.28068279902718984,0.5626675477023542,1.88215445487009
Lepidoptera,Geometridae,Scopula,Scopula limboundata,duration,0.023700243244679033,0.017487456215473478,1.355271055587163,0.18516714094951148,0.37039198449270727,0.48860973037929784,0.015008617103742294,39,0.41080415539584136,0.4998485738175227,0.7212840771584297
Lepidoptera,Geometridae,Scopula,Scopula limboundata,onset,-0.005595027424490987,0.016558241924601244,-0.3378998476993038,0.7375788761699609,0.21913394584821322,0.32188357244122334,0.0023468501141196696,39,0.1936070449983698,0.5030401129117218,2.853481194574101
Lepidoptera,Geometridae,Scopula,Scopula limboundata,offset,0.01570684162255349,0.012232077903581372,1.28406978326673,0.20911898808151236,0.23355989665358956,0.4054632076800464,0.012866316531480515,39,0.3610432497186417,0.39635982338446685,1.141678024349119
Hymenoptera,Vespidae,Vespula,Vespula maculifrons,duration,0.01744167778262491,0.014919060317179617,1.1690868869630109,0.25139122811857834,0.2534806914296117,0.398575407187784,0.04427426365430248,39,0.19906847180445375,0.30184392543798316,2.7842532311008767
Hymenoptera,Vespidae,Vespula,Vespula maculifrons,onset,-0.009300269181575314,0.014842104202860897,-0.6266139257924517,0.5356860972785809,0.27006217257742626,0.4278857610311752,0.008337238889301934,39,0.15471767046963983,0.3463391791081768,3.396137428349732
Hymenoptera,Vespidae,Vespula,Vespula maculifrons,offset,0.0075526332179701025,0.0073302488794691955,1.0303378974107917,0.3105062937149457,-0.024778783812346328,0.1290496449446744,0.027609679775360413,39,0.27940271903075126,0.787283242093478,1.8948524931329302
Lepidoptera,Pieridae,Phoebis,Phoebis sennae,duration,-0.013892051735296767,0.009816060806283075,-1.4152369274653156,0.170159003778311,0.605685108384443,0.7361384133195326,0.01304971297203017,36,0.049443988058393104,0.004065659879374128,5.912413229215645
Lepidoptera,Pieridae,Phoebis,Phoebis sennae,onset,0.008982377360453212,0.008749456641520409,1.026621163859191,0.3161793892997926,0.6504660029934874,0.7884408671144871,9.414026020758692e-4,36,0.10988735833415252,0.002756059140217315,4.183784384801072
Lepidoptera,Pieridae,Phoebis,Phoebis sennae,offset,-0.0014401097616563677,0.00412280856273601,-0.34930308786898195,0.7293018361088874,0.226095929709897,0.3366563792323588,0.0026939770454570966,36,0.18566390584222517,0.018978011164950792,2.9568701830273767
Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,duration,0.017224002214232793,0.014806184416967905,1.1632978307695578,0.2541916147002634,0.2633206313589044,0.3716637914911358,0.029322770108081486,35,0.31515676814379784,0.03548397169698808,1.5522395235867066
Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,onset,-0.002632273457233057,0.008701789381233348,-0.30249795092833787,0.7644745126151408,0.12596578919368018,0.26910378725271245,1.5444345121456982e-4,35,0.1718475160080212,0.589474446328554,3.1451794961373025
Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,offset,0.014937902358490004,0.013673020348243992,1.0925093342970458,0.28381567461220536,0.24074164055573632,0.36754125096527274,0.031043461380288018,35,0.2637212619587306,0.0367866036302974,2.0534320954833447
Lepidoptera,Nymphalidae,Euptoieta,Euptoieta claudia,duration,-0.010714602145303818,0.012140299613795345,-0.8825648860534324,0.385255319158345,0.23061258712917554,0.369967884952897,0.02473216409030715,34,0.1872609881385461,0.6650330996065581,2.935813474132601
Lepidoptera,Nymphalidae,Euptoieta,Euptoieta claudia,onset,0.012609920311859856,0.009707386773216996,1.2990025643823162,0.20537576031274368,0.33612276208380887,0.4783492581118869,0.028657361503689582,34,0.3036219588112916,0.5585151710457816,1.6602186089921815
Lepidoptera,Nymphalidae,Euptoieta,Euptoieta claudia,offset,0.0019301204204323012,0.008058877703591495,0.2395023837589854,0.8124606337412622,-0.12552460229551277,0.04501453116546633,0.0019572908913920925,34,0.17312186288394607,0.9423420278905117,3.12732314510572
Diptera,Syrphidae,Toxomerus,Toxomerus marginatus,duration,0.0380735897247564,0.016143558163396635,2.358438538728295,0.02858856414827796,0.4979113283654716,0.6745057097687888,0.48085579564055203,32,0.003665512051552842,0.028431377134062075,11.210229985940146
Diptera,Syrphidae,Toxomerus,Toxomerus marginatus,onset,-0.005370058138864469,0.008779661229639616,-0.6116475338177595,0.5479627317774194,0.5269630344408918,0.7077179275945259,0.023504517946008163,32,0.01703803039171826,0.17049557190385978,8.110245007859135
Diptera,Syrphidae,Toxomerus,Toxomerus marginatus,offset,0.025208516059769724,0.011895703571793514,2.119127793293612,0.04686687770062224,0.5502907023024151,0.7115760139338448,0.37634399105792565,32,0.5551524566933518,0.032067049171081,0
Lepidoptera,Pieridae,Abaeis,Abaeis nicippe,duration,-0.022132315437360547,0.014195785945090834,-1.559076441626278,0.1344091285881392,0.5144417925756533,0.6709296883944972,0.005343551570192506,31,0.586397714569278,0.28803929453584826,0
Lepidoptera,Pieridae,Abaeis,Abaeis nicippe,onset,0.025005683639152593,0.01623310270274757,1.5404130742621494,0.1393698690778882,0.45068274695549304,0.6392912438925619,-0.09786753094795375,31,0.9975835519225922,0.4208745640561778,0
Lepidoptera,Pieridae,Abaeis,Abaeis nicippe,offset,0.008023832489276737,0.010196707027234842,0.7869042885948888,0.43912891702589807,0.11094018272648898,0.29695819950289437,-0.0020058389288588607,31,0.23296337575536943,0.2830769438480131,2.383306589217568
Lepidoptera,Geometridae,Prochoerodes,Prochoerodes lineola,duration,-0.007901228094298652,0.017455837104512324,-0.45264103044684056,0.6547135860616782,0.2123528791920578,0.34408026202373865,-0.006604733666649876,31,0.23178492803976425,0.11565799896544765,2.3965196563306677
Lepidoptera,Geometridae,Prochoerodes,Prochoerodes lineola,onset,0.002164218666506858,0.010726382220732836,0.2017659469866436,0.8417325083052565,0.582202168614846,0.6518372778803533,5.671885562581469e-4,31,0.15981682370686282,0.5893661827168976,3.3191832550431855
Lepidoptera,Geometridae,Prochoerodes,Prochoerodes lineola,offset,-0.0027710146048435017,0.015768468657301114,-0.17573137031036093,0.8619473727265127,0.05441405020197421,0.22668836182502383,-0.0030453364192337684,31,0.1578571888498599,0.2197287476806974,3.3485177060983347
Diptera,Syrphidae,Toxomerus,Toxomerus geminatus,duration,0.030267650554192702,0.014059904721760297,2.152763560861684,0.04128798656282205,0.2736542007344106,0.4010196196926814,0.12370724564648905,31,0.5908616757928475,0.6358993724135238,0
Diptera,Syrphidae,Toxomerus,Toxomerus geminatus,onset,0.0023014922581835197,0.010801553370155143,0.21307048896713116,0.832999965266573,0.21947701349030102,0.3495733499391644,0.0011735540815615009,31,0.1602511948274494,0.7752791397554749,3.3127205077195754
Diptera,Syrphidae,Toxomerus,Toxomerus geminatus,offset,0.03131465299525309,0.013257587949446545,2.362017368065837,0.02697673681533163,0.16436126847156995,0.3566198777089058,0.1655231291640242,31,0.6569895250212165,0.7273015628023745,0
Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,duration,0.007934087953982224,0.008524037823212594,0.9307898578741847,0.3638695559275371,0.7037977002029208,0.8097436222840412,0.0029316351983134092,30,0.10561102427370483,0.002001495652337648,4.2727560281658725
Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,onset,-9.030701189705228e-4,0.006625213691931166,-0.13630807411848014,0.8929498119027899,0.45372204060056764,0.6258409279834953,-0.005662777823665088,30,0.08485387414942247,0.02122596227645951,4.756306206934312
Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,offset,0.007841851405605988,0.006724927144103277,1.1660871913656463,0.2586339405985306,0.6910121840872627,0.8060919249400554,0.004987174940817796,30,0.2573059555224294,0.005654836827916787,2.1200366213149664
Lepidoptera,Geometridae,Pleuroprucha,Pleuroprucha insulsaria,duration,0.0029892821827971184,0.014169697628366526,0.2109630184918576,0.8349031795135862,0.01084908123436168,0.24059737421727967,0.019837554969590748,29,0.07843070964242656,0.5581346857888496,4.92772482401773
Lepidoptera,Geometridae,Pleuroprucha,Pleuroprucha insulsaria,onset,-0.009915028240792292,0.006402328883600021,-1.548659623873787,0.13679957904862128,0.6274781225203373,0.7278997622912936,0.05236156057935515,29,0.17909375039593378,0.001310672627307885,3.044998996949971
Lepidoptera,Geometridae,Pleuroprucha,Pleuroprucha insulsaria,offset,-0.004337466680342439,0.010515833090585985,-0.41247009561472014,0.6846338938884382,0.46389813264316015,0.6379656094527946,-0.01782037630945288,29,0.23168912487650278,0.804245065427698,2.3975958849003405
Lepidoptera,Nymphalidae,Vanessa,Vanessa virginiensis,duration,0.02433142511952177,0.023973030532325586,1.0149499074267194,0.32139411721592204,0.08404294209956331,0.29528803903893125,0.030162670198120745,29,0.19419912379100748,0.8193061670969668,2.845905232354255
Lepidoptera,Nymphalidae,Vanessa,Vanessa virginiensis,onset,0.013931135613062197,0.01677092463419276,0.8306718870263857,0.415860915144624,0.1477331280360462,0.3845901079708861,0.0020364820798584593,29,0.15504163255686632,0.5240428458881192,3.39118735770154
Lepidoptera,Nymphalidae,Vanessa,Vanessa virginiensis,offset,0.040330974457024285,0.02459142756556572,1.6400420166537202,0.11460373227435322,0.07148949100929125,0.23730992918404972,0.08837864127191175,29,0.46764943770669876,0.8899133401886338,0.2591665470164912
Lepidoptera,Lycaenidae,Calycopis,Calycopis cecrops,duration,-0.01566631701194998,0.023294784192556085,-0.6725246682884574,0.5094209140490699,0.1513668015579459,0.38553216914696,0.0021744371642410387,27,0.12526150058551586,0.6512677988702145,3.8870428541739557
