system:index,Bioregions,OBJECTID,OBJECTID_1,Shape_Area,Shape_Leng,pop_den_2000,pop_den_2005,pop_den_2010,pop_den_2015,pop_den_2020,grid_id
0000000000000000005c,NA24,126,127,5.87464319123E11,5327422.291,12.125952184683555,12.449318534066862,12.78130845229219,13.122151297994423,13.472083793153077,93
0000000000000000005d,NA24,126,127,5.87464319123E11,5327422.291,18.220063451728972,18.705944186795715,19.204781359403608,19.71692098035298,20.24271769273132,94
0000000000000000005e,NA24,126,127,5.87464319123E11,5327422.291,3.005706036632712,3.0858601385896858,3.168151847340844,3.25263789,3.3393768315965486,95
0000000000000000005f,NA24,126,127,5.87464319123E11,5327422.291,15.374416750890235,16.13921055749611,16.942058929690614,17.78485355112288,18.66958314180374,96
00000000000000000060,NA24,126,127,5.87464319123E11,5327422.291,4.813466899,4.889873657905566,4.972181620930093,5.060658038073403,5.155582347,97
00000000000000000061,NA24,126,127,5.87464319123E11,5327422.291,2.509323046480421,2.4797549357538697,2.450835384040082,2.4225823013636716,2.3950157179465315,98
00000000000000000062,NA24,126,127,5.87464319123E11,5327422.291,5.0019185244135045,5.240400777629902,5.505393455778867,5.799443985717298,6.125349403525798,99
00000000000000000063,NA24,126,127,5.87464319123E11,5327422.291,1.2645720413222112,1.2870320680090779,1.312986668827781,1.3427604013346286,1.3767096936567422,100
00000000000000000064,NA24,126,127,5.87464319123E11,5327422.291,1.6573228352669431,1.6854125186094646,1.7179680123881065,1.7554032704949258,1.7981729919509017,101
00000000000000000065,NA24,126,127,5.87464319123E11,5327422.291,2.6549639272190833,2.7561344776556305,2.869221654916537,2.995363087845939,3.1358078963541267,102
00000000000000000066,NA24,126,127,5.87464319123E11,5327422.291,8.480046272685975,8.668835981805167,8.884296592785118,9.128926731,9.405471258189197,103
00000000000000000067,NA24,126,127,5.87464319123E11,5327422.291,15.633052840044316,16.91285743290254,18.320831809351283,19.86945321,21.572416375083357,104
00000000000000000068,NA24,126,127,5.87464319123E11,5327422.291,19.84296725021803,21.655874794136384,23.647446857451918,25.83511236,28.23800126377711,105
00000000000000000069,NA24,126,127,5.87464319123E11,5327422.291,7.201644621047046,7.815573005452194,8.489625482129178,9.229674222684068,10.042163900690706,106
0000000000000000006a,NA24,126,127,5.87464319123E11,5327422.291,24.21814868512291,25.952511729600637,27.85742963099058,29.949558073277522,32.24717718,107
0000000000000000006b,NA24,126,127,5.87464319123E11,5327422.291,62.117639173620475,62.00228163038303,61.88713925424559,61.77220987140087,61.657494763588225,108
0000000000000000006c,NA24,126,127,5.87464319123E11,5327422.291,27.57135037,27.52014777813206,27.46904101496672,27.418028573888193,27.36711158299894,109
0000000000000000006d,NA24,126,127,5.87464319123E11,5327422.291,8.958490891917108,8.941854282314978,8.925248556986045,8.908673773011662,8.892129585290698,110
0000000000000000006e,NA24,126,127,5.87464319123E11,5327422.291,3.9304053791979965,3.9804316044081594,4.036341705894351,4.098747889181207,4.168326114188609,111
0000000000000000006f,NA24,126,127,5.87464319123E11,5327422.291,4.721221794054696,5.025593244786326,5.362047522091552,5.733928791441415,6.144930193,112
00000000000000000070,NA24,126,127,5.87464319123E11,5327422.291,9.083988017806073,9.846379730873027,10.693466523284973,11.633907237557919,12.677270579948722,113
00000000000000000071,NA24,126,127,5.87464319123E11,5327422.291,8.308977959279312,9.155835778029328,10.091631488022667,11.125615563191877,12.268005699088668,114
00000000000000000072,NA24,126,127,5.87464319123E11,5327422.291,6.037203017,6.666643220683135,7.361709127083949,8.129242852,8.976799598829787,115
00000000000000000073,NA24,126,127,5.87464319123E11,5327422.291,32.74828205919282,36.162625960718415,39.93294980160604,44.096368163171796,48.69386682396657,116
00000000000000000074,NA24,126,127,5.87464319123E11,5327422.291,128.63905816299018,142.05099698874113,156.8612692529837,173.21566203808504,191.27516595451132,117
00000000000000000075,NA24,126,127,5.87464319123E11,5327422.291,24.419188424316136,26.96513942735985,29.776531215898597,32.88103919633456,36.30922478192215,118
00000000000000000076,NA24,126,127,5.87464319123E11,5327422.291,30.233966330245106,33.386166652269935,36.8670162,40.710779987988765,44.955295157095094,119
00000000000000000077,NA24,126,127,5.87464319123E11,5327422.291,10.474229906383641,11.566275991323549,12.772178500854375,14.103809120383326,15.574275525440312,120
00000000000000000078,NA24,126,127,5.87464319123E11,5327422.291,20.425608765518756,22.55518803,24.906797222774465,27.503586334092873,30.37111671733215,121
00000000000000000079,NA24,126,127,5.87464319123E11,5327422.291,29.514323188131478,33.447603036838146,37.92828011283266,43.03545001505595,48.859986845985496,122
0000000000000000007a,NA24,126,127,5.87464319123E11,5327422.291,51.302963345850564,59.531512488058326,69.07985088836524,80.15965778435954,93.01657248736055,123
0000000000000000007b,NA24,126,127,5.87464319123E11,5327422.291,30.368075505545534,35.23885176538021,40.89085782519057,47.44939627905847,55.059867683947914,124
0000000000000000007c,NA24,126,127,5.87464319123E11,5327422.291,70.93471625245711,82.31202955629453,95.51416451838276,110.8338071698646,128.61058746971577,125
0000000000000000007d,NA24,126,127,5.87464319123E11,5327422.291,44.79527245630999,51.98004613077865,60.317194511271815,69.99154874,81.21758700705182,126
0000000000000000007e,NA24,126,127,5.87464319123E11,5327422.291,30.503364932186507,35.39583958416773,41.07302526435389,47.66078225761107,55.30515762028146,127
0000000000000000007f,NA24,126,127,5.87464319123E11,5327422.291,68.47876393,79.46216287,92.20720557859636,106.99644161487463,124.15773894430606,128
00000000000000000080,NA24,126,127,5.87464319123E11,5327422.291,11.818694408618459,13.71382502705373,15.912905138110078,18.464685765129772,21.425735663680026,129
00000000000000000081,NA24,126,127,5.87464319123E11,5327422.291,0.8213124567452661,0.8534115519973053,0.8880021425410694,0.9254130079282977,0.9660237082944747,130
00000000000000000082,NA24,126,127,5.87464319123E11,5327422.291,0.6524891327406673,0.669889257,0.6877534120311305,0.7060939392101764,0.7249235644527094,131
00000000000000000083,NA24,126,127,5.87464319123E11,5327422.291,4.962395379847688,5.0947291378348645,5.230591843437258,5.370077657918955,5.5132830892672935,132
00000000000000000084,NA24,126,127,5.87464319123E11,5327422.291,2.2760647064779453,2.3367612457704507,2.399076375871899,2.4630532486795236,2.5287362610337354,133
00000000000000000085,NA24,126,127,5.87464319123E11,5327422.291,6.058805938336247,6.220377969648507,6.386258667,6.556562993391155,6.731409043948477,134
00000000000000000086,NA24,126,127,5.87464319123E11,5327422.291,17.15031625789172,18.003622814472678,18.899385348541923,19.83971589,20.826832272775405,135
00000000000000000087,NA24,126,127,5.87464319123E11,5327422.291,19.860846113524307,20.79803731457266,21.782514926183445,22.816622102214517,23.90282094025015,136
00000000000000000088,NA24,126,127,5.87464319123E11,5327422.291,2.919835610649323,2.8941127748602415,2.8693120622148105,2.845450707086641,2.8225477145674165,137
00000000000000000089,NA24,126,127,5.87464319123E11,5327422.291,1.3704522539650716,1.3528058314684777,1.3353866525328277,1.3181917809742931,1.301218259214698,138
0000000000000000008a,NA24,126,127,5.87464319123E11,5327422.291,5.047158899831945,4.982169945658399,4.918017805014682,4.854691768556605,4.7921810122586574,139
0000000000000000008b,NA24,126,127,5.87464319123E11,5327422.291,1.7167633606057695,1.694657711017505,1.6728367109099762,1.651296693824818,1.6300340363401338,140
0000000000000000008c,NA24,126,127,5.87464319123E11,5327422.291,1.7747485381970738,1.7518962542305263,1.729338236721035,1.7070706911922218,1.6850898393859022,141
0000000000000000008d,NA24,126,127,5.87464319123E11,5327422.291,2.6558327151024033,2.621635280980084,2.5878782196335792,2.5545557579350326,2.5216624257766784,142
0000000000000000008e,NA24,126,127,5.87464319123E11,5327422.291,7.877741603314319,7.776304849087134,7.676174661702598,7.577333563927711,7.479765051180651,143
0000000000000000008f,NA24,126,127,5.87464319123E11,5327422.291,7.568204751864008,7.470753856,7.374557874832176,7.279600604,7.185865937103194,144
00000000000000000090,NA24,126,127,5.87464319123E11,5327422.291,26.360161113828052,26.233839168445467,26.108749432837882,25.984872907400128,25.86219889413106,145
00000000000000000091,NA24,126,127,5.87464319123E11,5327422.291,4.983759622442707,4.974504323203575,4.965266335651534,4.956045432,4.946841544468492,146
00000000000000000092,NA24,126,127,5.87464319123E11,5327422.291,20.21547683138451,20.18335537305085,20.151822564059554,20.120929713264182,20.090732436824144,147
00000000000000000093,NA24,126,127,5.87464319123E11,5327422.291,34.677052943781156,34.61265573984947,34.548376671202384,34.48421803939783,34.420177464147336,148
00000000000000000094,NA24,126,127,5.87464319123E11,5327422.291,25.212430316267056,25.165608930170478,25.118874399657937,25.072226705747557,25.025665663044492,149
00000000000000000095,NA24,126,127,5.87464319123E11,5327422.291,5.022683698585311,5.013356216969517,5.004045957852328,4.994753132,4.9854774580342385,150
00000000000000000096,NA24,126,127,5.87464319123E11,5327422.291,4.915521418138555,4.906392872443325,4.8972813563284125,4.888186694399308,4.879108945492068,151
